2026-04-22 09:34:03.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:04.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:05.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:06.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:07.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:08.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:09.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:10.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:11.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:12.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:13.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:14.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:15.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:16.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:17.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:18.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:19.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:20.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:21.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:22.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:23.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:24.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:25.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:26.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:27.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:28.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:29.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:30.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:31.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:32.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:33.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:34.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:35.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:36.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:37.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:38.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:39.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:40.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:41.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:42.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:43.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:44.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:45.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:46.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:47.564 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:48.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:49.571 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:50.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:51.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:52.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:53.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:54.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:55.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:56.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:57.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:58.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:34:59.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:00.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:01.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:02.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:03.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:04.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:05.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:06.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:07.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:08.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:09.564 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:10.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:11.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:12.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:13.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:14.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:15.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:16.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:17.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:18.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:19.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:20.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:21.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:22.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:23.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:24.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:25.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:26.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:27.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:28.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:29.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:30.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:31.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:32.564 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:33.564 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:34.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:35.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:36.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:37.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:38.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:39.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:40.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:41.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:42.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:43.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:44.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:45.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:46.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:47.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:48.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:49.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:50.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:51.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:52.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:53.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:54.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:55.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:56.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:57.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:58.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:35:59.568 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:00.569 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:01.570 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:02.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:03.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:04.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:05.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:06.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:07.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:08.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:09.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:10.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:11.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:12.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:13.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:14.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:15.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:16.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:17.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:18.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:19.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:20.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:21.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:22.566 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:23.565 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
2026-04-22 09:36:24.567 DEBUG com.hamradio.jhub.MessageRouter — SAT_STATE cached and rebroadcast
